Year (UC)	Year (IC)	Month	Book	Chapter	Event	Notes
782	473	May	Life Out of Balance	1	The Musel family moves to the countryside; Reinhard meets Kircheis	
782	473	June	Speaking In Tongues	1	Yang takes the IOA entrance exam	
783	474	April	Speaking In Tongues	2	Yang Tai-long dies	tbh i think these dates are wrong in some aspect-- i think they need to happen a year later
784	475	February	Talking Without Speaking	1	Reuenthal recieves his admission letter to the IOA	
784	475	August	Speaking In Tongues	2	Yang and Reuenthal enter the IOA	
784	475	October	Speaking In Tongues	4	Yang is wounded in a hunting acident	
785	476	July	Speaking In Tongues	7	Amelie von Mariendorf dies	
785	476	August	Speaking In Tongues	8	Mittermeyer enters the IOA	
786	477	October	Life Out of Balance	1	Reinhard and Kircheis go on their hunting trip	
787	478	May	Life Out of Balance	2	Caribelle, Annerose, and Reinhard flee to the FPA	I think my dates got messed up somehow here? oh no lmao
788	479	June	Speaking In Tongues	13	Yang, Reuenthal, Wahlen, Bittenfeld graduate the IOA	
788	479	June	Talking Without Speaking	14	Reuenthal is assigned to a patrol ship	
788	479	June	Servants of the Pharaoh	1	Yang is assigned as Merkatz's adjutant	
788	479	October	Servants of the Pharaoh	2	The battle of El Facil	
788	479	October	Servants of the Pharaoh	3	Yang returns to Odin in disgrace; is assigned to work under Commodore Bronner	
788	479	December	Servants of the Pharaoh	4	Yang meets Magdalena	
789	480	February	Servants of the Pharaoh	5	Yang presents his Iserlohn strategy to Fleet Admiral Muckenburger	
789	480	April	Life Out of Balance	4	Annerose enters the Alliance Officers' Academy	
789	480	July	Life Out of Balance	6	Reinhard axe fights Schenkopp	
789	480	November	Life Out of Balance	7	Annerose and Schenkopp break up	
789	480	December	Life Out of Balance	8	Annerose works for Cazerne for the summer	
790	481	April	Servants of the Pharaoh	7	Ingrid marries Prince Ludwig	
790	481	July	Servants of the Pharaoh	8	Yang quits his position under Bronner and is moved to teach at the IOA	
790	481	November	Servants of the Pharaoh	8	Yang arranges with the Earth Church to get Ingrid off Odin	
790	481	December	Servants of the Pharaoh	9	Ingrid kills Prince Ludwig	
791	482	February	Servants of the Pharaoh	10	Kircheis gets arrested	
